sidoname,cityname,pm25value,pm10value,datetime,day,week
제주,제주,18.0,32.0,2022-03-22T14:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,20.0,45.0,2022-03-26T19:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,20.0,35.0,2022-03-03T06:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,16.0,44.0,2022-03-16T15:00:00.000Z,2022-03-16T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,22.0,37.0,2022-03-19T19:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,10.0,39.0,2022-03-27T11:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,52.0,96.0,2022-03-09T16:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,6.0,16.0,2022-03-18T14:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,24.0,35.0,2022-03-19T21:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,11.0,20.0,2022-03-20T19:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,28.0,55.0,2022-03-10T07:00:00.000Z,2022-03-10T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,20.0,43.0,2022-03-17T04:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,17.0,35.0,2022-03-17T18:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,14.0,25.0,2022-03-21T14:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,14.0,25.0,2022-03-20T03:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,17.0,38.0,2022-03-26T18:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,8.0,20.0,2022-03-02T20:00:00.000Z,2022-03-02T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,46.0,80.0,2022-03-09T06:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,53.0,74.0,2022-03-24T23:00:00.000Z,2022-03-24T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,24.0,33.0,2022-03-22T19:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,22.0,67.0,2022-03-16T23:00:00.000Z,2022-03-16T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,16.0,28.0,2022-03-21T16:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,12.0,27.0,2022-03-28T08:00:00.000Z,2022-03-28T00:00:00.000Z,2022-03-28T00:00:00.000Z
제주,제주,11.0,27.0,2022-03-13T12:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,12.0,24.0,2022-03-21T04:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,8.0,37.0,2022-03-06T16:00:00.000Z,2022-03-06T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,54.0,100.0,2022-03-09T14:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,15.0,23.0,2022-03-20T22:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,23.0,50.0,2022-03-10T15:00:00.000Z,2022-03-10T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,14.0,41.0,2022-03-13T07:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,5.0,12.0,2022-03-18T11:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,37.0,54.0,2022-03-25T04:00:00.000Z,2022-03-25T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,5.0,18.0,2022-03-26T01:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,15.0,40.0,2022-03-13T03:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,21.0,32.0,2022-03-14T16:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,20.0,26.0,2022-03-24T02:00:00.000Z,2022-03-24T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,25.0,43.0,2022-03-25T07:00:00.000Z,2022-03-25T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,14.0,46.0,2022-03-13T05:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,19.0,38.0,2022-03-13T22:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,31.0,42.0,2022-03-23T03:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,22.0,40.0,2022-02-26T15:00:00.000Z,2022-02-26T00:00:00.000Z,2022-02-21T00:00:00.000Z
제주,제주,29.0,42.0,2022-03-23T18:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,10.0,24.0,2022-03-28T06:00:00.000Z,2022-03-28T00:00:00.000Z,2022-03-28T00:00:00.000Z
제주,제주,14.0,30.0,2022-03-19T08:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,8.0,17.0,2022-03-17T23:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,7.0,15.0,2022-03-20T15:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,31.0,45.0,2022-03-23T17:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,11.0,25.0,2022-03-19T07:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,11.0,26.0,2022-03-17T20:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,12.0,23.0,2022-03-21T03:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,14.0,23.0,2022-03-21T06:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,23.0,76.0,2022-03-27T15:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,17.0,30.0,2022-03-21T17:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,7.0,21.0,2022-03-02T18:00:00.000Z,2022-03-02T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,51.0,87.0,2022-03-09T19:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,25.0,64.0,2022-03-04T18:00:00.000Z,2022-03-04T00:00:00.000Z,2022-02-28T00:00:00.000Z
